Ball#,Pin Name,Signal Name,Function,Ball Reset Rel. Function,Type,Ball Reset State,Pull Up/Down,Buffer Strength,(mA),Power Supply
DRAM,,,,,,,,,,
T17,SA0,SA0,NA,NA,O,Z,NA,NA,,VCC-DRAM
U18,SA1,SA1,NA,NA,O,Z,NA,NA,,VCC-DRAM
V19,SA2,SA2,NA,NA,O,Z,NA,NA,,VCC-DRAM
V20,SA3,SA3,NA,NA,O,Z,NA,NA,,VCC-DRAM
V21,SA4,SA4,NA,NA,O,Z,NA,NA,,VCC-DRAM
Y19,SA5,SA5,NA,NA,O,Z,NA,NA,,VCC-DRAM
Y20,SA6,SA6,NA,NA,O,Z,NA,NA,,VCC-DRAM
V15,SA7,SA7,NA,NA,O,Z,NA,NA,,VCC-DRAM
W18,SA8,SA8,NA,NA,O,Z,NA,NA,,VCC-DRAM
Y18,SA9,SA9,NA,NA,O,Z,NA,NA,,VCC-DRAM
P19,SA10,SA10,NA,NA,O,Z,NA,NA,,VCC-DRAM
N19,SA11,SA11,NA,NA,O,Z,NA,NA,,VCC-DRAM
R18,SA12,SA12,NA,NA,O,Z,NA,NA,,VCC-DRAM
V12,SA13,SA13,NA,NA,O,Z,NA,NA,,VCC-DRAM
N17,SA14,SA14,NA,NA,O,Z,NA,NA,,VCC-DRAM
R17,SA15,SA15,NA,NA,O,Z,NA,NA,,VCC-DRAM
W17,SBA0,SBA0,NA,NA,O,Z,NA,NA,,VCC-DRAM
T18,SBA1,SBA1,NA,NA,O,Z,NA,NA,,VCC-DRAM
V17,SBA2,SBA2,NA,NA,O,Z,NA,NA,,VCC-DRAM
U15,SCAS,SCAS,NA,NA,O,Z,NA,NA,,VCC-DRAM
AA19,SCK,SCK,NA,NA,O,Z,NA,NA,,VCC-DRAM
AA20,SCKB,SCKB,NA,NA,O,Z,NA,NA,,VCC-DRAM
AA21,SCKE0,SCKE0,NA,NA,O,Z,NA,NA,,VCC-DRAM
Y21,SCKE1,SCKE1,NA,NA,O,Z,NA,NA,,VCC-DRAM
W20,SCS0,SCS0,NA,NA,O,Z,NA,NA,,VCC-DRAM
W21,SCS1,SCS1,NA,NA,O,Z,NA,NA,,VCC-DRAM
W11,SODT0,SODT0,NA,NA,O,Z,NA,NA,,VCC-DRAM
V11,SODT1,SODT1,NA,NA,O,Z,NA,NA,,VCC-DRAM
N20,SDQ0,SDQ0,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
P21,SDQ1,SDQ1,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
P20,SDQ2,SDQ2,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
U21,SDQ3,SDQ3,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
R19,SDQ4,SDQ4,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
T20,SDQ5,SDQ5,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
U19,SDQ6,SDQ6,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
U20,SDQ7,SDQ7,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
J19,SDQ8,SDQ8,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
H20,SDQ9,SDQ9,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
H21,SDQ10,SDQ10,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
J21,SDQ11,SDQ11,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
L20,SDQ12,SDQ12,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
L21,SDQ13,SDQ13,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
M21,SDQ14,SDQ14,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
M19,SDQ15,SDQ15,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
Y17,SDQ16,SDQ16,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
AA17,SDQ17,SDQ17,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
Y16,SDQ18,SDQ18,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
W15,SDQ19,SDQ19,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
Y14,SDQ20,SDQ20,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
AA14,SDQ21,SDQ21,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
Y13,SDQ22,SDQ22,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
Y12,SDQ23,SDQ23,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
W12,SDQ24,SDQ24,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
AA11,SDQ25,SDQ25,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
Y11,SDQ26,SDQ26,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
Y10,SDQ27,SDQ27,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
W9,SDQ28,SDQ28,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
AA8,SDQ29,SDQ29,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
Y8,SDQ30,SDQ30,NA,NA,I/O,Z,NA,NA,,VCC-DRAM
"",,,,,,,,,
Y7,SDQ31,SDQ31,NA,NA,I/O,Z,NA,NA,VCC-DRAM
M20,SDQM0,SDQM0,NA,NA,O,Z,NA,NA,VCC-DRAM
G20,SDQM1,SDQM1,NA,NA,O,Z,NA,NA,VCC-DRAM
AA18,SDQM2,SDQM2,NA,NA,O,Z,NA,NA,VCC-DRAM
AA12,SDQM3,SDQM3,NA,NA,O,Z,NA,NA,VCC-DRAM
R20,SDQS0,SDQS0,NA,NA,I/O,Z,NA,NA,VCC-DRAM
R21,SDQS0B,SDQS0B,NA,NA,I/O,Z,NA,NA,VCC-DRAM
K20,SDQS1,SDQS1,NA,NA,I/O,Z,NA,NA,VCC-DRAM
J20,SDQS1B,SDQS1B,NA,NA,I/O,Z,NA,NA,VCC-DRAM
AA15,SDQS2,SDQS2,NA,NA,I/O,Z,NA,NA,VCC-DRAM
Y15,SDQS2B,SDQS2B,NA,NA,I/O,Z,NA,NA,VCC-DRAM
AA9,SDQS3,SDQS3,NA,NA,I/O,Z,NA,NA,VCC-DRAM
Y9,SDQS3B,SDQS3B,NA,NA,I/O,Z,NA,NA,VCC-DRAM
V13,SRAS,SRAS,NA,NA,O,Z,NA,NA,VCC-DRAM
U16,SRST,SRST,NA,NA,O,Z,NA,NA,VCC-DRAM
T16,SVREF,SVREF,NA,NA,P,NA,NA,NA,VCC-DRAM
W13,SWE,SWE,NA,NA,O,Z,NA,NA,VCC-DRAM
V10,SZQ,SZQ,NA,NA,AI,Z,NA,NA,VCC-DRAM
"L16,M16,N16,P16,P17,R16,T12,T13,T14,T15,U11",VCC-DRAM,VCC-DRAM,NA,NA,P,NA,NA,NA,NA
GPIOA,,,,,,,,,
D11,PA0,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,UART2_TX,2,O,,,,,
"",,JTAG_MS,3,I,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT0,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
D5,PA1,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,UART2_RX,2,I,,,,,
"",,JTAG_CK,3,I,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT1,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
D6,PA2,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,UART2_RTS,2,O,,,,,
"",,JTAG_DO,3,O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT2,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
E13,PA3,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,UART2_CTS,2,I,,,,,
"",,JTAG_DI,3,I,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT3,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
F5,PA4,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,UART0_TX,2,O,,,,,
"",,Reserved,3,NA,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT4,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
H6,PA5,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,,,,,,,,
"",,Output,1,,O,,,,
"",,UART0_RX,2,I,,,,,
"",,PWM0,3,O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT5,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
E14,PA6,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,SIM0_PWREN,2,O,,,,,
"",,PCM0_MCLK,3,O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT6,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
D8,PA7,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,SIM0_CLK,2,O,,,,,
"",,Reserved,3,NA,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT7,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
F13,PA8,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,SIM0_DATA,2,I/O,,,,,
"",,Reserved,3,NA,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT8,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
D13,PA9,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,SIM0_RST,2,O,,,,,
"",,Reserved,3,NA,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT9,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
E11,PA10,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,SIM0_DET,2,I,,,,,
"",,Reserved,3,NA,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT10,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
F11,PA11,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
"",,Output,1,O,,,,,
"",,TWI0_SCK,2,I/O,,,,,
"",,DI_TX,3,O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,PA_EINT11,6,I,,,,,
"",,IO Disable,7,OFF,,,,,
C13,PA12,Input,0,Function7,I,Z,PU/PD,20,VCC-IO
Output,1,O,,,,,,,
TWI0_SDA,2,I/O,,,,,,,
DI_RX,3,I,,,,,,,
Reserved,4,NA,,,,,,,
Reserved,5,NA,,,,,,,
PA_EINT12,6,I,,,,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,SPI1_CS,2,,I/O,,,,
"",,UART3_TX,3,,O,,,,
E15,PA13,,,Function7,,Z,PU/PD,20,VCC-IO
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,PA_EINT13,6,,I,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,SPI1_CLK,2,,I/O,,,,
"",,UART3_RX,3,,I,,,,
G12,PA14,,,Function7,,Z,PU/PD,20,VCC-IO
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,PA_EINT14,6,,I,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,SPI1_MOSI,2,,I/O,,,,
"",,UART3_RTS,3,,O,,,,
F14,PA15,,,Function7,,Z,PU/PD,20,VCC-IO
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,PA_EINT15,6,,I,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,SPI1_MISO,2,,I/O,,,,
"",,UART3_CTS,3,,I,,,,
D15,PA16,,,Function7,,Z,PU/PD,20,VCC-IO
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,PA_EINT16,6,,I,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,OWA_OUT,2,,O,,,,
"",,Reserved,3,,NA,,,,
C14,PA17,,,Function7,,Z,PU/PD,20,VCC-IO
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,PA_EINT17,6,,I,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,PCM0_SYNC,2,,I/O,,,,
"",,TWI1_SCK,3,,I/O,,,,
B13,PA18,,,Function7,,Z,PU/PD,20,VCC-IO
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,PA_EINT18,6,,I,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,PCM0_CLK,2,,I/O,,,,
"",,TWI1_SDA,3,,I/O,,,,
B14,PA19,,,Function7,,Z,PU/PD,20,VCC-IO
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,PA_EINT19,6,,I,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
A13,PA20,PCM0_DOUT,2,Function7,O,Z,PU/PD,20,VCC-IO
"",,SIM0_VPPEN,3,,O,,,,
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,PA_EINT20,6,,I,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,PCM0_DIN,2,,I,,,,
"",,SIM0_VPPPP,3,,O,,,,
A14,PA21,,,Function7,,Z,PU/PD,20,VCC-IO
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,PA_EINT21,6,,I,,,,
"",,IO Disable,7,,OFF,,,,
GPIOC,,,,,,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,NAND_WE,2,,O,,,,
"",,SPI0_MOSI,3,,I/O,,,,
C15,PC0,,,Function7,,Z,PU/PD,20,VCC-PC
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,Reserved,6,,NA,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,NAND_ALE,2,,O,,,,
"",,SPI0_MISO,3,,I/O,,,,
C16,PC1,,,Function7,,Z,PU/PD,20,VCC-PC
"",,SDC2_DS,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,Reserved,6,,NA,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,NAND_CLE,2,,O,,,,
"",,SPI0_CLK,3,,I/O,,,,
B16,PC2,,,Function7,,Z,PU/PD,20,VCC-PC
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,Reserved,6,,NA,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,NAND_CE1,2,,O,,,,
"",,SPI0_CS,3,,NA,,,,
B15,PC3,,,Function7,,PU,PU/PD,20,VCC-PC
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,Reserved,6,,NA,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,NAND_CE0,2,,O,,,,
"",,Reserved,3,,NA,,,,
F16,PC4,,,Function7,,PU,PU/PD,20,VCC-PC
"",,SPI0_MISO,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,Reserved,6,,NA,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
"",,Output,1,,O,,,,
"",,NAND_RE,2,,O,,,,
"",,SDC2_CLK,3,,I/O,,,,
A17,PC5,,,Function7,,Z,PU/PD,20,VCC-PC
"",,Reserved,4,,NA,,,,
"",,Reserved,5,,NA,,,,
"",,Reserved,6,,NA,,,,
"",,IO Disable,7,,OFF,,,,
"",,Input,0,,I,,,,
E16,PC6,,,Function7,,PU,PU/PD,20,VCC-PC
"",,Output,1,,O,,,,
"",,,,,,,,,
"",,NAND_RB0,2,,I,,,,
"",,SDC2_CMD,3,I/O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
A16,PC7,Input,0,Function7,I,PU,PU/PD,20,VCC-PC
"",,Output,1,O,,,,,
"",,NAND_RB1,2,I,,,,,
"",,Reserved,3,NA,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
B18,PC8,Input,0,Function7,I,Z,PU/PD,20,VCC-PC
"",,Output,1,O,,,,,
"",,NAND_DQ0,2,I/O,,,,,
"",,SDC2_D0,3,I/O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
C17,PC9,Input,0,Function7,I,Z,PU/PD,20,VCC-PC
"",,Output,1,O,,,,,
"",,NAND_DQ1,2,I/O,,,,,
"",,SDC2_D1,3,I/O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
D17,PC10,Input,0,Function7,I,Z,PU/PD,20,VCC-PC
"",,Output,1,O,,,,,
"",,NAND_DQ2,2,I/O,,,,,
"",,SDC2_D2,3,I/O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
C18,PC11,Input,0,Function7,I,Z,PU/PD,20,VCC-PC
"",,Output,1,O,,,,,
"",,NAND_DQ3,2,I/O,,,,,
"",,SDC2_D3,3,I/O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
B17,PC12,Input,0,Function7,I,Z,PU/PD,20,VCC-PC
"",,Output,1,O,,,,,
"",,NAND_DQ4,2,I/O,,,,,
"",,SDC2_D4,3,I/O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
B19,PC13,Input,0,Function7,I,Z,PU/PD,20,VCC-PC
Output,1,O,,,,,,,
NAND_DQ5,2,I/O,,,,,,,
SDC2_D5,3,I/O,,,,,,,
Reserved,4,NA,,,,,,,
Reserved,5,NA,,,,,,,
Reserved,6,NA,,,,,,,
IO Disable,7,OFF,,,,,,,
"",,,,,,,,,
F17,PC14,Input,0,Function7,I,Z,PU/PD,20,VCC-PC
"",,Output,1,O,,,,,
"",,NAND_DQ6,2,I/O,,,,,
"",,SDC2_D6,3,I/O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
C19,PC15,Input,0,Function7,I,Z,PU/PD,20,VCC-PC
"",,Output,1,O,,,,,
"",,NAND_DQ7,2,I/O,,,,,
"",,SDC2_D7,3,I/O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
H16,PC16,Input,0,Function7,I,PD,PU/PD,20,VCC-PC
"",,Output,1,O,,,,,
"",,NAND_DQS,2,O,,,,,
"",,SDC2_RST,3,O,,,,,
"",,Reserved,4,NA,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
G15,VCC-PC,VCC-PC,NA,NA,P,NA,NA,NA,NA
GPIOD,,,,,,,,,
C21,PD0,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,
"",,"RGMII_RXD3/MII_RXD3/RMII_NULL",2,I,,,,,
"",,DI_TX,3,O,,,,,
"",,TS2_CLK,4,I,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
H17,PD1,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,
"",,"RGMII_RXD2/MII_RXD2/RMII_NULL",2,I,,,,,
"",,DI_RX,3,I,,,,,
"",,TS2_ERR,4,I,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
B20,PD2,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,
"",,"RGMII_RXD1/MII_RXD1/RMII_RXD1",2,I,,,,,
"",,Reserved,3,NA,,,,,
"",,TS2_SYNC,4,I,,,,,
"",,Reserved,5,NA,,,,,
"",,Reserved,6,NA,,,,,
"",,IO Disable,7,OFF,,,,,
H18,PD3,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
Output,1,O,,,,,,,
"RGMII_RXD0/MII_RXD0/RMII_RXD0",2,I,,,,,,,
Reserved,3,NA,,,,,,,
TS2_DVLD,4,I,,,,,,,
"",,,,,,,,,
"",,Reserved,5,,NA,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
A20,PD4,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_RXCK/MII_RXCK/RMII_NULL",2,I,,,,,,
"",,Reserved,3,NA,,,,,,
"",,TS2_D0,4,I,,,,,,
"",,Reserved,5,NA,,,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
F19,PD5,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_RXCTL/MII_RXDV/RMII_CRS_DV",2,I,,,,,,
"",,Reserved,3,NA,,,,,,
"",,TS2_D1,4,I,,,,,,
"",,Reserved,5,NA,,,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
B21,PD6,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_NULL/MII_RXERR/RMII_RXER",2,I,,,,,,
"",,Reserved,3,NA,,,,,,
"",,TS2_D2,4,I,,,,,,
"",,Reserved,5,NA,,,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
E18,PD7,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_TXD3/MII_TXD3/RMII_NULL",2,O,,,,,,
"",,Reserved,3,NA,,,,,,
"",,TS2_D3,4,I,,,,,,
"",,TS3_CLK,5,I,,,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
E20,PD8,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_TXD2/MII_TXD2/RMII_NULL",2,O,,,,,,
"",,Reserved,3,NA,,,,,,
"",,TS2_D4,4,I,,,,,,
"",,TS3_ERR,5,I,,,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
F21,PD9,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
Output,1,O,,,,,,,
"RGMII_TXD1/MII_TXD1/RMII_TXD1",2,O,,,,,,,
Reserved,3,NA,,,,,,,
TS2_D5,4,I,,,,,,,
TS3_SYNC,5,i,,,,,,,
Reserved,6,NA,,,,,,,
IO Disable,7,OFF,,,,,,,
"",,,,,,,,,
H19,PD10,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_TXD0/MII_TXD0/RMII_TXD0",2,O,,,,,,
"",,Reserved,3,NA,,,,,,
"",,TS2_D6,4,I,,,,,,
"",,TS3_DVLD,5,I,,,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
F20,PD11,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_NULL/MII_CRS/RMII_NULL",2,I,,,,,,
"",,Reserved,3,NA,,,,,,
"",,TS2_D7,4,I,,,,,,
"",,TS3_D0,5,I,,,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
E19,PD12,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_TXCK/MII_TXCK/RMII_TXCK",2,I/O,,,,,,
"",,Reserved,3,NA,,,,,,
"",,SIM1_PWREN,4,O,,,,,,
"",,Reserved,5,NA,,,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
K17,PD13,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_TXCTL/MII_TXEN/RMII_TXEN",2,I/O,,,,,,
"",,Reserved,3,NA,,,,,,
"",,SIM1_CLK,4,O,,,,,,
"",,Reserved,5,NA,,,,,,
"",,Reserved,6,NA,,,,,,
"",,IO Disable,7,OFF,,,,,,
L17,PD14,Input,0,Function7,I,Z,PU/PD,20,VCC-PD
"",,Output,1,O,,,,,,
"",,"RGMII_NULL/MII_TXERR/RMII_NULL",2,O,,,,,,
"",,Reserved,3,NA,,,,,,
