Ball#,Pin Name,Signal Name,Function,Ball Reset Rel. Function,Type,Ball Reset State,Pull Up/Down,Buffer Strength,(mA),Power Supply
,,"RGMII_TXCTL/
MII_TXEN/
RMII_TXEN",2,I/O,,,,,,
,,Reserved,3,NA,,,,,,
,,SIM1_CLK,4,O,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
L17,PD14,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_NULL/
MII_TXERR/
RMII_NULL",2,O,,,,,,
,,Reserved,3,NA,,,,,,
,,SIM1_DATA,4,I/O,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
K18,PD15,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_CLKIN/
MII_COL/
RMII_NULL",2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,SIM1_RST,4,O,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
L18,PD16,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,MDC,2,O,,,,,,
,,Reserved,3,,NA,,,,,
,,SIM1_DET,4,,I,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,MDIO,2,,I/O,,,,,
,,Reserved,3,,NA,,,,,
L19,PD17,,,Function7,,Z,PU/PD,20,VCC-PD,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_PCLK,2,,I,,,,,
,,TS0_CLK,3,,I,,,,,
B10,PE0,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_MCLK,2,,O,,,,,
,,TS0_ERR,3,,O,,,,,
A10,PE1,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_HSYNC,2,,I,,,,,
,,TS0_SYNC,3,,I,,,,,
B11,PE2,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_VSYNC,2,,I,,,,,
,,TS0_DVLD,3,,I,,,,,
C10,PE3,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D0,2,,I,,,,,
,,TS0_D0,3,,I,,,,,
C9,PE4,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D1,2,,I,,,,,
E10,PE5,TS0_D1,3,Function7,I,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,O,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D2,2,,I,,,,,
,,TS0_D2,3,,I,,,,,
D10,PE6,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D3,2,,I,,,,,
,,TS0_D3,3,,I,,,,,
C8,PE7,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_CLK,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D4,2,,I,,,,,
,,TS0_D4,3,,I,,,,,
C11,PE8,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_ERR,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D5,2,,I,,,,,
,,TS0_D5,3,,I,,,,,
C12,PE9,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_SYNC,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D6,2,,I,,,,,
,,TS0_D6,3,,I,,,,,
E8,PE10,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_DVLD,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D7,2,,I,,,,,
,,TS0_D7,3,,I,,,,,
A11,PE11,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_D0,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_SCK,2,,I/O,,,,,
,,TWI2_SCK,3,,I/O,,,,,
B12,PE12,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
C7,PE13,CSI_SDA,2,Function7,I/O,Z,PU/PD,20,VCC-IO,
,,TWI2_SDA,3,,I/O,,,,,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,Reserved,2,,NA,,,,,
,,SIM1_VPPEN,3,,O,,,,,
C6,PE14,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,Reserved,2,,NA,,,,,
,,SIM1_VPPPP,3,,O,,,,,
C5,PE15,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
GPIOF,,,,,,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,SDC0_D1,2,,I/O,,,,,
,,JTAG_MS,3,,I,,,,,
D19,PF0,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PF_EINT0,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,SDC0_D0,2,,I/O,,,,,
,,JTAG_DI,3,,I,,,,,
A19,PF1,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PF_EINT1,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,SDC0_CLK,2,,O,,,,,
,,UART0_TX,3,,O,,,,,
D20,PF2,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PF_EINT2,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,SDC0_CMD,2,,I/O,,,,,
,,JTAG_DO,3,,O,,,,,
F18,PF3,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PF_EINT3,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,SDC0_D3,2,,I/O,,,,,
,,UART0_RX,3,,I,,,,,
E21,PF4,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PF_EINT4,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
C20,PF5,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Output,1,,O,,,,,
,,SDC0_D2,2,,I/O,,,,,
,,JTAG_CK,3,I,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,PF_EINT5,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
G18,PF6,Input,0,Function7,I,Z,PU/PD,20,VCC-IO,
,,Output,1,O,,,,,,
,,Reserved,2,NA,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,PF_EINT6,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
J3,PG0,Input,0,Function7,I,Z,PU/PD,20,VCC-PG,
,,Output,1,O,,,,,,
,,SDC1_CLK,2,O,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,PG_EINT0,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
L2,PG1,Input,0,Function7,I,Z,PU/PD,20,VCC-PG,
,,Output,1,O,,,,,,
,,SDC1_CMD,2,I/O,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,PG_EINT1,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
H4,PG2,Input,0,Function7,I,Z,PU/PD,20,VCC-PG,
,,Output,1,O,,,,,,
,,SDC1_D0,2,I/O,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,PG_EINT2,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
F3,PG3,Input,0,Function7,I,Z,PU/PD,20,VCC-PG,
,,Output,1,O,,,,,,
,,SDC1_D1,2,I/O,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,PG_EINT3,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
C2,PG4,Input,0,Function7,I,Z,PU/PD,20,VCC-PG,
,,Output,1,O,,,,,,
,,SDC1_D2,2,I/O,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,PG_EINT4,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
C1,PG5,Input,0,Function7,I,Z,PU/PD,20,VCC-PG,
,,Output,1,O,,,,,,
,,SDC1_D3,2,I/O,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,PG_EINT5,6,I,,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,UART1_TX,2,,O,,,,,
,,Reserved,3,,NA,,,,,
G4,PG6,,,Function7,,Z,PU/PD,20,VCC-PG,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PG_EINT6,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,UART1_RX,2,,I,,,,,
,,Reserved,3,,NA,,,,,
D3,PG7,,,Function7,,Z,PU/PD,20,VCC-PG,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PG_EINT7,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,UART1_RTS,2,,O,,,,,
,,Reserved,3,,NA,,,,,
C3,PG8,,,Function7,,Z,PU/PD,20,VCC-PG,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PG_EINT8,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,UART1_CTS,2,,I,,,,,
,,Reserved,3,,NA,,,,,
E3,PG9,,,Function7,,Z,PU/PD,20,VCC-PG,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PG_EINT9,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,PCM1_SYNC,2,,I/O,,,,,
,,Reserved,3,,NA,,,,,
M3,PG10,,,Function7,,Z,PU/PD,20,VCC-PG,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PG_EINT10,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,PCM1_CLK,2,,I/O,,,,,
,,Reserved,3,,NA,,,,,
D2,PG11,,,Function7,,Z,PU/PD,20,VCC-PG,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PG_EINT11,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,PCM1_DOUT,2,,O,,,,,
,,Reserved,3,,NA,,,,,
D1,PG12,,,Function7,,Z,PU/PD,20,VCC-PG,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PG_EINT12,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
B1,PG13,PCM1_DIN,2,Function7,I,Z,PU/PD,20,VCC-PG,
,,Reserved,3,,NA,,,,,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PG_EINT13,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,S_TWI_SCK,2,,I/O,,,,,
,,Reserved,3,,NA,,,,,
N1,PL0,,,Function7,,PU,PU/PD,20,VCC-RTC,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,S_PL_EINT0,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,S_TWI_SDA,2,,I/O,,,,,
,,Reserved,3,,NA,,,,,
M1,PL1,,,Function7,,PU,PU/PD,20,VCC-RTC,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,S_PL_EINT1,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,S_UART_TX,2,,O,,,,,
,,Reserved,3,,NA,,,,,
P2,PL2,,,Function7,,Z,PU/PD,20,VCC-RTC,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,S_PL_EINT2,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,S_UART_RX,2,,I,,,,,
,,Reserved,3,,NA,,,,,
R1,PL3,,,Function7,,Z,PU/PD,20,VCC-RTC,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,S_PL_EINT3,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,S_JTAG_MS,2,,I,,,,,
,,Reserved,3,,NA,,,,,
N2,PL4,,,Function7,,Z,PU/PD,20,VCC-RTC,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,S_PL_EINT4,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,S_JTAG_CK,2,,I,,,,,
,,Reserved,3,,NA,,,,,
R2,PL5,,,Function7,,Z,PU/PD,20,VCC-RTC,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,S_PL_EINT5,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,S_JTAG_DO,2,,O,,,,,
,,Reserved,3,,NA,,,,,
T4,PL6,,,Function7,,Z,PU/PD,20,VCC-RTC,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,S_PL_EINT6,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
T3,PL7,Input,0,Function7,I,Z,PU/PD,20,VCC-RTC,
,,Output,1,,O,,,,,
,,S_JTAG_DI,2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,S_PL_EINT7,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
T2,PL8,Input,0,Function7,I,Z,PU/PD,20,VCC-RTC,
,,Output,1,O,,,,,,
,,Reserved,2,NA,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,S_PL_EINT8,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
M6,PL9,Input,0,Function7,I,Z,PU/PD,20,VCC-RTC,
,,Output,1,O,,,,,,
,,Reserved,2,NA,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,S_PL_EINT9,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
V2,PL10,Input,0,Function7,I,Z,PU/PD,20,VCC-RTC,
,,Output,1,O,,,,,,
,,S_PWM,2,O,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,S_PL_EINT10,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
U2,PL11,Input,0,Function7,I,Z,PU/PD,20,VCC-RTC,
,,Output,1,O,,,,,,
,,S_CIR_RX,2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,Reserved,4,NA,,,,,,
,,Reserved,5,NA,,,,,,
,,S_PL_EINT11,6,I,,,,,,
,,IO Disable,7,OFF,,,,,,
